sample_filename,x_bound,y_bound,w_bound,h_bound,c_id,lat,lon,cfield_id
1_400.png,10.9140625,29,173,101,1,38.3727284,47.74622113,20000
2_400.png,42.4140625,67,108,70,2,38.37281955,47.74645459,3
3_400.png,33.4140625,50,146,104,3,38.3714844,47.74625628,20000
4_400.png,29.9140625,37,159,116,4,38.37110906,47.74638608,20000
5_400.png,8.9140625,22,190,145,5,38.37165063,47.74681514,3
6_400.png,19.4140625,32,163,133,6,38.37254073,47.74694493,3
7_400.png,21.4140625,34,169,137,7,38.37305012,47.746725,3
8_400.png,6.9140625,15,174,136,8,38.3735059,47.74703146,3
9_400.png,13.9140625,32,179,132,9,38.37288926,47.74707833,3
10_400.png,15.9140625,18,181,145,10,38.37234233,47.7471865,3
11_400.png,14.9140625,24,178,127,11,38.37179004,47.74711439,3
12_400.png,41.9140625,44,143,119,12,38.37140397,47.74722976,3
13_400.png,38.9140625,47,157,106,13,38.37181685,47.74730908,3
14_400.png,6.9140625,26,189,143,14,38.37193482,47.74732351,3
15_400.png,20.9140625,20,174,145,15,38.37216002,47.74737759,3
16_400.png,34.9140625,36,133,121,16,38.3720367,47.74737038,3
17_400.png,23.4140625,27,167,131,17,38.37187583,47.74759752,3
18_400.png,26.9140625,46,158,98,18,38.37420832,47.74690167,3
19_400.png,21.9140625,38,167,140,19,38.37432093,47.74675745,3
20_400.png,9.9140625,16,169,161,20,38.37464801,47.74648704,3
21_400.png,30.4140625,12,168,160,21,38.37376864,47.74744158,3
22_400.png,17.9140625,46,163,117,22,38.37322171,47.74765791,3
23_400.png,18.9140625,30,176,119,23,38.37286781,47.74774444,3
24_400.png,9.9140625,22,183,142,24,38.37385979,47.74788505,3
25_400.png,8.9140625,22,187,145,25,38.37269086,47.74798961,3
26_400.png,11.4140625,25,172,135,26,38.37308229,47.74802206,3
27_400.png,8.9140625,8,182,150,27,38.37108225,47.74770117,3
28_400.png,16.9140625,16,179,150,28,38.37072836,47.74774444,20000
29_400.png,15.9140625,18,172,143,29,38.3705675,47.74761825,3
30_400.png,20.9140625,31,167,129,30,38.37103848,47.74817737,2
31_400.png,27.9140625,26,141,117,31,38.37089367,47.74816656,2
32_400.png,17.9140625,23,182,135,32,38.37082395,47.74828917,2
33_400.png,8.9140625,21,180,141,33,38.3705397,47.74820622,2
34_400.png,8.9140625,11,184,139,34,38.37181615,47.74834326,2
35_400.png,6.9140625,16,172,138,35,38.3698103,47.74788167,2
36_400.png,14.9140625,32,179,156,36,38.36942415,47.74744892,20000
37_400.png,20.9140625,48,188,119,37,38.36951532,47.74881927,2
38_400.png,22.9140625,19,176,130,38,38.37318377,47.74835047,2
39_400.png,18.9140625,25,155,126,39,38.37353775,47.7483072,20000
40_400.png,-,-,-,-,40,38.37439586,47.74803673,3
41_400.png,25.9140625,28,157,118,41,38.37642853,47.74615787,3
42_400.png,28.9140625,40,168,115,42,38.37677178,47.74633819,3
43_400.png,31.9140625,49,147,104,43,38.37623009,47.74609656,3
44_400.png,48.4140625,61,107,90,44,38.37719547,47.74631655,3
45_400.png,38.9140625,20,144,128,45,38.37718474,47.74619393,3
46_400.png,27.9140625,38,163,112,46,38.37625691,47.74575035,3
47_400.png,37.9140625,17,131,133,47,38.3760102,47.74585494,3
48_400.png,36.4140625,37,144,126,48,38.37548748,47.74568633,3
49_400.png,52.9140625,61,105,75,49,38.37555183,47.74541591,3
50_400.png,49.796875,46,96,94,50,38.375584,47.7453474,3
51_400.png,24.9140625,16,127,114,51,38.37656525,47.74554571,3
52_400.png,37.9140625,17,128,130,52,38.37664568,47.74539428,3
53_400.png,18.4140625,31,140,108,53,38.37681727,47.74524284,3
54_400.png,37.9140625,39,147,109,54,38.37698349,47.74530053,3
55_400.png,33.796875,36,136,122,55,38.37725159,47.74488949,3
56_400.png,36.796875,37,123,106,56,38.37679046,47.74487146,20000
57_400.png,17.796875,25,154,127,57,38.37761621,47.74478493,3
58_400.png,43.9140625,40,131,125,58,38.37803981,47.74519957,3
59_400.png,29.9140625,42,134,94,59,38.37789504,47.74549523,3
60_400.png,7.9140625,28,170,121,60,38.37867254,47.74570075,3
61_400.png,48.9140625,77,113,74,61,38.37842052,47.74587742,3
62_400.png,20.9140625,29,155,116,62,38.37980929,47.74526087,3
63_400.png,19.9140625,46,152,90,63,38.37988972,47.74533298,3
64_400.png,22.796875,41,150,118,64,38.36938879,47.74774646,2
65_400.png,26.9140625,24,165,135,65,38.38045355,47.74491115,3
66_400.png,46.796875,21,111,123,66,38.3797938,47.74450719,3
67_400.png,37.9140625,31,147,97,67,38.37927887,47.74501214,3
68_400.png,25.9140625,30,168,117,68,38.38102748,47.74481737,3
69_400.png,33.9140625,33,139,117,69,38.38119912,47.74516723,3
70_400.png,51.9140625,30,131,128,70,38.3818106,47.74523576,3
71_400.png,33.796875,39,136,100,71,38.38045355,47.745683,3
72_400.png,23.796875,33,118,111,72,38.37993362,47.7461435,3
73_400.png,29.9140625,33,159,95,73,38.37922047,47.74606778,3
74_400.png,43.9140625,38,129,120,74,38.37930626,47.74553056,3
75_400.png,41.9140625,24,119,119,75,38.37833573,47.74474454,3
76_400.png,52.796875,27,102,123,76,38.37787996,47.74455344,3
77_400.png,26.796875,32,132,111,77,38.38218032,47.74453902,3
78_400.png,62.9140625,36,83,68,78,38.38206235,47.7440811,3
79_400.png,7.9140625,33,176,117,79,38.38126341,47.74424335,3
80_400.png,21.9140625,38,171,114,80,38.3809685,47.7440847,3
81_400.png,49.9140625,39,137,102,81,38.38307042,47.74404144,3
82_400.png,16.9140625,37,175,117,82,38.38314549,47.74425056,3
83_400.png,37.9140625,36,144,106,83,38.38326881,47.74365202,3
84_400.png,45.9140625,18,117,132,84,38.38163875,47.74392966,3
85_400.png,24.9140625,21,160,101,85,38.38182642,47.74377462,3
86_400.png,28.4140625,48,144,90,86,38.38220713,47.74396932,3
87_400.png,24.9140625,42,171,106,87,38.38202482,47.74356188,3
88_400.png,43.9140625,35,148,133,88,38.38093633,47.74383952,3
89_400.png,31.9140625,52,128,96,89,38.38080764,47.74369168,3
90_400.png,32.9140625,47,126,107,90,38.3803036,47.7436376,20000
91_400.png,42.921875,48,113,93,91,38.37988536,47.74363399,20000
92_400.png,40.9140625,28,154,118,92,38.38075402,47.74348616,20000
93_400.png,52.4140625,52,118,83,93,38.3809256,47.74340683,20000
94_400.png,46.9140625,33,152,119,94,38.38118834,47.7430679,20000
95_400.png,35.9140625,47,146,97,95,38.38177817,47.74342126,3
96_400.png,42.9140625,22,133,120,96,38.38015883,47.74419287,3
97_400.png,33.9140625,43,117,98,97,38.38433586,47.74412797,3
98_400.png,29.796875,38,136,128,98,38.38264682,47.74518442,3
99_400.png,38.9140625,48,138,108,99,38.38294709,47.74557382,3
100_400.png,17.9140625,18,165,127,100,38.38304897,47.74537912,3
101_400.png,24.9140625,32,162,126,101,38.38423934,47.74548729,3
102_400.png,11.4140625,29,169,112,102,38.38412138,47.74608942,3
103_400.png,34.9140625,37,126,112,103,38.38656689,47.74746725,3
